airport_code,airport_name_en,country_code,airport_name_ar
IKO,Nikolski Air Station,US,محطة نيكولسكي
KIH,Kish International Airport,IR,مطار كيش الدولي
KMG,Kunming Changshui International Airport,CN,مطار كونمينغ جانغشوي الدولي
NKG,Nanjing Lukou International Airport,CN,مطار نانجينغ الدولي
EFL,Argostolion Airport,GR,مطار ارغوستوليون
OAS,Sharana Airstrip,AF,مهبط شارانا 
FAC,Faaite Airport,PF,مطار فاتي
VHZ,Vahitahi Airport,PF,مطار فاهتاهي
ZAJ,Zaranj Airport,AF,مطار زارانج
MMZ,Maimana Airport,AF,مطار ميمنة
SJT,San Angelo Regional Airport,US,مطار سان انجيلو الإقليمي
TKK,Chuuk International Airport,FM,مطار شوك الدولي
MCN,Middle Georgia Regional Airport,US,مطار جورجيا الأوسط الإقليمي
KUH,Kushiro Airport,JP,مطار كوشيرو
GZT,Gaziantep International Airport,TR,مطار غازي عنتاب الدولي
BXU,Bancasi Airport,PH,مطار بانكاسي
FPO,Grand Bahama International Airport,BS,مطار جراند باهاما الدولي
AXM,El Edn International Airport,CO,مطار اي ال ايدن الدولي
AHB,Abha Regional Airport,SA,مطار أبها الإقليمي
KKA,Koyuk Alfred Adams Airport,US,مطار كويكوك ألفريد آدامز
CGM,Camiguin Airport,PH,مطار كاميجوين
UYL,Nyala Airport,SD,مطار نيالا
KVC,King Cove Airport,US,مطار الملك كوف
UNK,Unalakleet Airport,US,مطار أونالاكليت
PEI,Matecaa International Airport,CO,مطار ماتيكا الدولي
RAI,Nelson Mandela International Airport,CV,مطار نيلسون مانديلا الدولي 
KSA,Kosrae International Airport,FM,مطار كوسراي الدولي
AUC,Santiago Perez Airport,CO,مطار سانتياغو بيريز
SCW,Syktyvkar Airport,RU,مطار سيكتيفكار
FUG,Fuyang Xiguan Airport,CN,مطار فويانغ شيغوان
ETH,Eilat Airport,IL,مطار إيلات
CHQ,Chania International Airport,GR,مطار خانيا الدولي
BQS,Ignatyevo Airport,RU,مطار ايغناتيفو
PFB,Lauro Kurtz Airport,BR,مطار اورو كورتز
SLN,Salina Municipal Airport,US,مطار سالينا منيسيبال
BWA,Bhairahawa Airport,NP,مطار بايراهاوا
LSP,Josefa Camejo International Airport,VE,مطار جوزيفا كاميخو الدولية
JKR,Janakpur Airport,NP,مطار جاناكبور
QUO,Akwa Ibom International Airport,NG,مطار اكوا الدولية
LEJ,Leipzig-halle Airport,DE,مطار لايبزيغ، هالي
EGX,Egegik Airport,US,مطار ايغيغيك
NRN,Weeze Airport,DE,مطار فيزي
BHR,Bharatpur Airport,VN,مطار بهاراتبور
AZN,Andizhan Airport,UZ,مطار أنديجان
LLK,Lankaran International Airport,AZ,مطار لانكاران الدولي
NST,Cha Ian Airport,TH,مطار تشا إيان
JKH,Chios Island National Airport,GR,مطار تشويس ايلاند الوطني
MJU,Tampa Padang Airport,ID,مطار تامبا بادانج
URT,Surat Thani Airport,TH,مطار سورات ثاني
CGD,Changde Airport,CN,مطار تشانغده
USN,Ulsan Airport,KR,مطار اولسان
PKN,Iskandar Airport,ID,مطار اسكندر
CJM,Chumphon Airport,TH,مطار شومفون
WKA,Wanaka Airport,NZ,مطار واناكا
SGD,Snderborg Airport,DK,مطار ساندر بورغ
CFS,Coffs Harbour Airport,AU,مطار كوفس هاربور
DAM,Damascus International Airport,SY,مطار دمشق الدولي
FNJ,Sunan International Airport,KR,مطار سنن الدولية
FRW,Francistown Airport,BW,المطار فرانسيس
FVM,Fuvahmulah Airport,BT,مطار فوفاهمولا
BBK,Kasane Airport,BW,مطار كاسان
INN,Innsbruck Airport,AT,مطار انسبروك
TUU,Tabuk Airport,SA,مطار تبوك
BHH,Bisha Airport,SA,مطار بيشة
GAO,Mariana Grajales Airport,CU,مطار ماريانا غراخاليس
SDQ,Las Amricas International Airport,DO,مطار لاس امريكاس
ATY,Watertown Regional Airport,US,مطار ووترتاون الإقليمي
CBR,Canberra International Airport,AU,مطار كانبيرا الدولية
YTH,Thompson Airport,CA,مطار طومسون
ORN,Oran Es Snia Airport,DZ,مطار وهران اس سنيا
YFS,Fort Simpson Airport,CA,مطار فورت سيمبسون
DBV,Dubrovnik Airport,HR,مطار دوبروفنيك
OVD,Asturias Airport,ES,مطار أستورياس
LBS,Labasa Airport,FJ,مطار اباسا
TGG,Sultan Mahmud Airport,MY,مطار السلطان محمود
SLL,Salalah Airport,OM,مطار صلالة
SDR,Santander Airport,ES,مطار سانتاندر
PLW,Mutiara Airport,ID,مطار موتيارا
FLW,Flores Airport,PT,مطار فلوريس
OZZ,Ouarzazate Airport,MA,مطار ورزازات
ASJ,Amami Airport,JP,مطار أمامي
ELF,El Fasher Airport,SD,مطار الفاشر
PIB,Hattiesburg Laurel Regional Airport,US,مطار هاتييسبورغ لوريل الإقليمي
TAT,Poprad-tatry Airport,SK,مطار بوبراد-تاتري
MAD,Madrid-barajas Airport,ES,مطار مدريد-باراخاس
KGE,Kagau Island Airport,SB,مطار كاغاو ايلاند
WLH,Walaha Airport,VU,مطار ولاحه
RAE,Arar Domestic Airport,SA,مطار عرعر المحلي
EAM,Nejran Airport,SA,مطار نجران
GIZ,Jizan Regional Airport,SA,مطار جازان الإقليمي
OHD,Ohrid St Paul The Apostle Airport,MK,مطار الرسول اورهيل سانت باول 
POG,Port Gentil Airport,GA,مطار بورت جنتيل
VDM,Gobernador Castello Airport,AR,مطار جوبيرنادور كاستيلو
CRI,Colonel Hill Airport,BS,مطار العقيد هيل
SHW,Sharurah Airport,SA,مطار شرورة
YPL,Pickle Lake Airport,CA,مطار بيكيل ليك
REU,Reus Airport,ES,مطار ريوس
ACC,Kotoka International Airport,GH,مطار كوتوكا الدولي
SJJ,Sarajevo International Airport,BA,مطار سراييفو الدولي
RAH,Rafha Domestic Airport,SA,مطار رفحاء المحلي
QFG,Eqalugaarsuit Heliport,GL,مهبط ايكالوغارسوت
COO,Cadjehoun Airport,BJ,مطار كوتونو
MOT,Minot International Airport,US,مطار مينوت الدولي
TIF,Taif Airport,SA,مطار الطائف
PBJ,Tavie Airport,VU,مطر تافي
YNB,Yenbo Airport,SA,مطار ينبع
ARA,Acadiana Regional Airport,US,مطار أكدينا الإقليمي
HOF,Al Ahsa Airport,SA,مطار الأحساء
SRY,Dasht-e Naz Airport,IR,دشت ناز مطار
LDU,Lahad Datu Airport,MY,مطار لاهاد داتو
XSC,South Caicos Airport,TC,مطار جنوب كايكوس
DND,Dundee Airport,GB,مطار دندي
SKT,Sialkot Airport,PK,مطار سيالكوت
ASM,Asmara International Airport,ER,مطار أسمرا الدولي
KOK,Kokkola-pietarsaari Airport,FI,مطار كوكاكولا-بيتيرساري
UAS,Samburu South Airport,KE,مطار سامبورو الجنوبي
DLE,Dole-tavaux Airport,FR,مطار دول - تافاكس
BOB,Bora Bora Airport,PF,مطار بورا بورا
WAE,Wadi Al Dawasir Airport,SA,مطار وادي الدواسر
HRM,Hassi Rmel Airport,DZ,مطار حاسي ريميل 
MQT,Sawyer International Airport,US,مطار سوير الدولي
AUR,Aurillac Airport,FR,مطار أوريلاك
BBA,Balmaceda Airport,CL,مطار بلماسيدا
BHK,Bukhara Airport,UZ,مطار بخارى
IUE,Niue International Airport,NU,مطار نيوي الدولي
YDP,Nain Airport,CA,مطار نايين
AXR,Arutua Airport,PF,مطار اروتوا
LDE,Tarbes-lourdes-pyrnes Airport,FR,مطار تاربيس-لورديس-بيرنيس
JHS,Sisimiut Airport,GL,مطار سيسيميوت
TUI,Turaif Domestic Airport,SA,مطار طريف المحلي
YOL,Yola Airport,NG,مطار يولا
EJH,Al Wajh Domestic Airport,SA,مطار الوجيه المحلي
DPL,Dipolog Airport,PH,مطار ديبولوج
VLD,Valdosta Regional Airport,US,مطار فالدوستا الإقليمي
FUN,Funafuti International Airport,TV,مطار فونافوتي الدولية
GBT,Gorgan Airport,IR,مطار جرجان
YBB,Kugaaruk Airport,CA,مطار كوجاروك
CDG,Charles De Gaulle Airport,FR,مطار شارل ديغول
BHV,Bahawalpur Airport,PK,مطار باهاوالبور
OMH,Urmia Airport,IR,مطار أورميا
IKI,Iki Airport,JP,مطار ايكي
EAT,Pangborn Memorial Airport,US,مطار بانغبورن التذكارية
ABD,Abadan Airport,IR,مطار عبادان
NCE,Nice Cte Dazur Airport,FR,مطار نيس كوت دازور
LAQ,La Abraq Airport,LY,مطار لا أبرق
EBA,Marina Di Campo Airport,IT,مارينا دي كامبو مطار
BWT,Wynyard Airport,AU,مطار ينيارد
TBP,Capitan Fap Pedro Canga Rodriguez Airport,PE,مطار كابتن فاب بيدرو كانغا رودريغيز
BRM,Barquisimeto International Airport,VE,مطار باركيسيميتو الدولية
VCT,Victoria Regional Airport,US,مطار فيكتوريا الإقليمي
RGI,Rangiroa Airport,PF,مطار رانجيروا
KEP,Nepalgunj Airport,NP,مطار نيبالغوني
TMR,Aguenar Eur Hadj Bey Akhamok Airport,DZ,مطار اغوينار اور هادج باي اخاموك
GOH,Nuuk Airport,GL,مطار نوك
DZN,Zhezkazgan Airport,KZ,مطار زيزكازغان
SYZ,Shiraz Shahid Dastghaib International Airport,IR,مطار شيراز شهيد داستايب الدولي
GIB,Gibraltar International Airport,GI,مطار جبل طارق
QPW,Kangaatsiaq Heliport,GL,مهبط كانغاتسياق
KOT,Kotlik Airport,US,مطار كوتليك
TBW,Donskoye Airport,RU,مكاتب دونسكوي
KGP,Kogalym International Airport,RU,مطار كوغاليم الدولية
ULY,Ulyanovsk East Airport,RU,مطار أوليانوفسك الشرق
BIB,Baidoa Airport,BI,مطار بيدوا
GYA,Capitn De Av Emilio Beltrn Airport,BO,مطار دي اف ايميليو بيلترن
LXG,Luang Namtha Airport,LA,مطار لوانغ نامثا
QOW,Sam Mbakwe International Airport,NG,مطار سام مباكوي الدولية
GDZ,Gelendzhik Airport,RU,مطار غلنجيك
ULV,Ulyanovsk Baratayevka Airport,RU,مطار اوليانوفسك باراتاييفكا
USK,Usinsk Airport,RU,مكطار يوسنسك
UCT,Ukhta Airport,RU,مطار أوختا
UTP,U-tapao International Airport,TH,مطار يو-تاباو الدولي
PTP,Pointe--pitre International Airport,GP,مطار بوانت -أبيتر الدولي
BNS,Barinas Airport,VE,مطار باريناس
NAL,Nalchik Airport,RU,مطار نالتشيك
DYR,Ugolny Airport,RU,مطار اوغولني
JOS,Yakubu Gowon Airport,NG,مطار ياكوبو جوون
HER,Heraklion International Airport,GR,مطار هيراكليون الدولي
UBP,Ubon Ratchathani Airport,TH,مطار أوبون راتشاثاني
KDM,Kaadedhdhoo Airport,MV,مطار كاديدهادو
KGI,Kalgoorlie Boulder Airport,AU,مطار كالغورلي بولدر
YCL,Charlo Airport,CA,مطار تشارلو
GLF,Golfito Airport,CR,مطار غولفيتو
KNX,Kununurra Airport,AU,مطار كونونورا
KUS,Kulusuk Airport,GL,مطار كولوسوك
EBJ,Esbjerg Airport,DK,مطار ايسبيرج
VNY,Van Nuys Airport,US,مطار فان نويز
LRE,Longreach Airport,AU,مطار لونغريتش
EBU,Saint-tienne-bouthcon Airport,FR,مطار سانت - تيني - بوثكون
PMZ,Palmar Sur Airport,CR,مطار بالمار سور
SCY,San Cristbal Airport,EC,مطار سان كريستوبال
KUD,Kudat Airport,MY,مطار كودات
JIU,Jiujiang Lushan Airport,CN,مطار جيوجيانغ لوشان
CAL,Campbeltown Airport,GB,مطار كامبيلتاون
AEP,Aeroparque Jorge Newbery,AR,ايروبارك جورج نيوربي
SDV,Sde Dov Airport,IL,مطار سدي دوف
THS,Sukhothai Airport,TH,مطار سوخوثاي
KZS,Kastelorizo Airport,GR,مطار كاستيلوريزو
LRS,Leros Island National Airport,GR,مطار ليروس ايلاند الوطني
KAD,Kaduna Airport,NG,مطار كادونا
YZY,Zhangye Southeast Air Base,CN,قاعده زانغي الجنوبيه
CRL,Brussels South Charleroi Airport,BE,مطار بروسيل شارلروا الجنوبي
LUD,Lderitz Airport,NA,مطار ليديراتز
SEB,Sabha Airport,LY,مطار سبها
HLA,Lanseria International Airport,ZA,مطار لانسيريا
CVU,Corvo Airport,PT,مطار كورفو
CNS,Cairns Airport,AU,مطار كيرنز 
FOD,Fort Dodge Regional Airport,US,مطار فورت دودج الإقليمي
SFN,Sauce Viejo Airport,AR,مطار فيجو صوص
RCB,Richards Bay Airport,ZA,مطار خليج ريتشاردز
BZG,Bydgoszcz Ignacy Jan Paderewski Airport,PL,مطار بيدغوز اجناسي جان باديرويسكس
MLO,Milos Island National Airport,GR,مطار ميلوس جزيرة الوطنية
JNX,Naxos Island National Airport,GR,مطار ناكسوس جزيرة الوطنية
SKB,Robert L Bradshaw International Airport,KN,مطار روبرت برادشو الدولي
KCA,Kuqa Airport,CN,مطار كوتشا
SML,Stella Maris Airport,BS,مطار ستيلا ماريس
YCY,Clyde River Airport,CA,مطار نهر كلايد
WWP,North Whale Seaplane Base,US,قاعدة ويل سيبلاين الشماليه
QGQ,Attu Heliport,GL,مهبط اتو
UYN,Yulin Airport,CN,مطار يولين
YKQ,Waskaganish Airport,CA,مطار واسكاغنش
CFR,Caen-carpiquet Airport,FR,مطار كاين-كاربيكت
ASW,Aswan International Airport,EG,مطار أسوان الدولي
AEB,Baise Youjiang Airport,CN,مطار بايس يوجيانغ
DAU,Daru Airport,PG,مطار دارو
BQN,Rafael Hernndez Airport,PR,مطار رافائيل هيرنانديز
PUU,Tres De Mayo Airport,CO,مطار تريس دي مايو
HTI,Great Barrier Reef Airport,AU,مطار الحاجز المرجاني العظيم
MPL,Montpellier-mditerrane Airport,FR,مطار مونتيبلير-ميديترين
YTL,Big Trout Lake Airport,CA,مطار بيغ تروت ليك
VXC,Lichinga Airport,MZ,مطار ليتشينغا
SKG,Thessaloniki International Airport,GR,مطار سالونيك الدولي
KHD,Khoram Abad Airport,IR,مطار خرم آباد
POZ,Pozna-awica Airport,PL,مطار بوينزا-اويكا
YFH,Fort Hope Airport,CA,مطار فورت هوب
EMK,Emmonak Airport,US,مطار ايموناك
RJK,Rijeka Airport,HR,مطار ريجيكا
ORU,Juan Mendoza Airport,BO,مطار خوان ميندوزا
URY,Guriat Domestic Airport,SA,مطار قريات المحلي
BKA,Bykovo Airport,RU,مطار بيكوفو
HKN,Hoskins Airport,PG,مطار هوسكينز
IAO,Siargao Airport,PH,مطار سيارجاو
DEC,Decatur Airport,US,مطار ديكاتور
ZAH,Zahedan International Airport,IR,مطار زاهدان الدولية
YFO,Flin Flon Airport,CA,مطار فلين فلون
ZTH,Zakynthos International Airport,GR,مطار زاكينثوس الدولي
SAP,Ramn Villeda Morales International Airport,HN,مطار رامون فيليدا موراليس الدولية
MPA,Katima Mulilo Airport,NA,مطار كاتيما موليلو
GRV,Grozny North Airport,RU,مطار غروزني الشمالية
TOE,Tozeur Nefta International Airport,TN,مطار توزر نفطة الدولي
LRR,Lar Airport,IR,مطار لار
MYW,Mtwara Airport,TZ,مطار متوارا
ZNA,Nanaimo Harbour Water Airport,CA,نانايمو مطار ميناء المياه
DAC,Shahjalal International Airport,BD,مطار شاه جلال الدولي
BER,Berlin Brandenburg Airport,DE,مطار برلين براندنبورغ
SHB,Nakashibetsu Airport,JP,مطار ناكتشيبيستو
BJR,Bahir Dar Airport,ET,مطار بحر دار
MCG,Mcgrath Airport,US,مطار ماكغراث
YPX,Puvirnituq Airport,CA,مطار بوفيرنيتوك
REA,Reao Airport,PF,مطار رياو
PAG,Pagadian Airport,PH,مطار باجاديان
HEL,Helsinki Airport,FI,مطار هلسنكي
NOC,Ireland West Airport Knock,IE,مطار نوك أيرلندا الغربية
KMO,Manokotak Airport,US,مطار موناكوتاك
CGK,Soekarno-hatta International Airport,ID,مطار سوكارنو هاتا الدولي
PRH,Phrae Airport,TH,مطار فراى
WUZ,Changzhoudao Airport,CN,مطار تشانغزوداو
TMU,Tambor Airport,CR,مطار تامبور
BVC,Rabil Airport,CV,مطار رابيل
RGS,Burgos Airport,ES,مطار برغش
YNO,North Spirit Lake Airport,CA,مطار نورث سبيريت ليك
SKK,Shaktoolik Airport,US,مطار شاكتوليك
WRG,Wrangell Airport,US,مطار رانجيل
BVE,Brive-la Roche Airport,FR,مطار بريفي-لا روتشي
ZVK,Savannakhet Airport,LA,مطار سافانخت
DIR,Aba Tenna Dejazmach Yilma International Airport,ET,مطار ابا تينا ديجازماتش يلما الدولي
EUX,Fd Roosevelt Airport,BQ,مطار فد روزفلت
PZU,Port Sudan New International Airport,SD,مطار بورتسودان
VDA,Ovda Airport,IL,مطار عوفدا
GMB,Gambella Airport,ET,مطار غامبيلا
FHZ,Fakahina Airport,PF,مطار فاكاهينا
EBD,El Obeid Airport,SD,مطار الأبيض
TLV,Ben Gurion Airport,IL,مطار بن غوريون
INU,Nauru International Airport,NR,مطار ناورو الدولية
NAJ,Nakhchivan Airport,AZ,مطار ناخيتشيفان
JIM,Jimma Airport,ET,مطار جيما
BRI,Bari Karol Wojtya Airport,IT,مطار باري كارول وجتيا
UAK,Narsarsuaq Airport,GL,مطار نارسارسواك
SLY,Salekhard Airport,RU,مطار ساليخارد
KSH,Kermanshah Airport,IR,مطار كرمنشاه
TBZ,Tabriz International Airport,IR,مطار تبريز الدولي
HOR,Horta Airport,PT,مطار هورتا
LBD,Khudzhand Airport,TJ,مطار خودزهاند
XJD,Al Udeid Air Base,QA,قاعدة العديد الجوية
AAE,Annaba Airport,DZ,مطار عنابة
BND,Bandar Abbas International Airport,IR,مطار بندر عباس الدولي
KQT,Qurghonteppa International Airport,TJ,مطار كورغونتيبا
HIA,Lianshui Airport,ER,مطار ليانشوي
MQF,Magnitogorsk International Airport,RU,مطار مانايتاغورسك الدولية
CKY,Conakry International Airport,GN,مطار كوناكري الدولي
BLQ,Bologna Guglielmo Marconi Airport,IT,بولونيا مطار غولييلمو ماركوني
SYB,Seal Bay Seaplane Base,VE,قاعده سيل باي سيبلان
TBO,Tabora Airport,TZ,مطار تابورا
GHA,Noumcrat - Moufdi Zakaria Airport,DZ,مطار نومكرات-مفدي زكريا
ELQ,Gassim Airport,SA,مطار القصيم
FLR,Florence Airport,IT,مطار فلورنسا
QFX,Igaliku Heliport,FM,مهبط ايغاليكو
FAE,Vagar Airport,FO,مطار فاجار
YCS,Chesterfield Inlet Airport,CA,مطار تشيسترفيلد انليت
UUD,Ulan-ude Airport Mukhino,RU,مطار اولان-اودي موخينو
FUO,Foshan Shadi Airport,CN,مطار فوشان شادي
YKG,Kangirsuk Airport,CA,مطار كانجيرسوك
IGU,Foz Do Iguau International Airport,BR,مطار فوز دو ايغواو الدولي
MCP,Macap International Airport,BR,مطار ماكاب الدولي
RIY,Mukalla International Airport,YE,مطار المكلا الدولي
ARI,Chacalluta International Airport,CL,مطار تشاكالوتا الدولية
GOA,Genoa Cristoforo Colombo Airport,IT,مطار جنوة كريستوفورو كولومبو
KWN,Quinhagak Airport,US,مطار كوينهاجاك
YER,Fort Severn Airport,CA,مطار فورت سيفرن
THQ,Tianshui Maijishan Airport,CN,مطار تيانشوي ماجيشهان
MXP,Milano Malpensa Airport,IT,مطار ميلانو مالبينسا
DJG,Djanet Inedbirene Airport,DZ,مطار جانت تيسكا
SCT,Socotra International Airport,YE,مطار سقطرى الدولي
YEI,Bursa Yeniehir Airport,TR,مطار برسا ينيهير
TGH,Tongoa Airport,VU,مطار تونغوا
WXN,Wanxian Airport,CN,مطار انكزيان
LAD,Quatro De Fevereiro Airport,AO,مطار كواترو دي فيفيريرو
PHS,Phitsanulok Airport,TH,مطار فيتسانولوك
HEK,Heihe Airport,CN,مطار هيهي
SUG,Surigao Airport,PH,مطار سوريجاو
MES,Soewondo Air Force Base Airport,ID,مطار قاعده سلاح الجو سوويندو
EUG,Eugene Airport,US,مطار يوجين
MWF,Maewo-naone Airport,VU,مطار مايو-ناون
HBA,Hobart International Airport,AU,مطار هوبارات الدولي
FAI,Fairbanks International Airport,US,مطار فيربانكس الدولية
EDI,Edinburgh Airport,GB,مطار ادنبره
YHH,Campbell River Water Aerodrome,CA,مطار كامبل ريفير ووتر
YBG,Canadian Forces Base Cfb Bagotville,CA,قاعده الواثق للقوات الكنديه
MSQ,Minsk National Airport,BY,مطار مينسك الوطني
PMO,Falcone-borsellino Airport,IT,مطار باليرمو الدولي
YDF,Deer Lake Airport,CA,مطار دير ليك
IXL,Leh Kushok Bakula Rimpochee Airport,IN,مطار ليه كوشوك باكولا ريمبوتشي
FSM,Fort Smith Regional Airport,US,مطار فورت سميث الإقليمي
SHM,Nanki Shirahama Airport,JP,مطار نانكي شيراهاما
FCO,Leonardo Da Vinci-fiumicino Airport,IT,مطار ليوناردو دا فينشي
PET,Pelotas Airport,BR,مطار بيلوتاس
WLK,Selawik Airport,US,مطار سيلاويك
YUS,Yushu Batang Airport,CN,مطار يوشو باتانغ
SKE,Skien Airport,NO,مطار سكاين
RXS,Roxas Airport,PH,مطار روكساس
AXK,Ataq Airport,YE,مطار عتق
SNO,Sakon Nakhon Airport,TH,مطار ساكون ناخون
RBA,Rabat-sal Airport,MA,مطار رباط - سال
IMT,Ford Airport,US,مطار فورد
MGT,Milingimbi Airport,AU,مطار ميلينغمبي
CSX,Changsha Huanghua International Airport,CN,مطار تشانغشا هوانغوا الدولية
NYK,Nanyuki Airport,KE,مطار نانيوكي
MCY,Sunshine Coast Airport,AU,مطار صن شاين كوست
VLV,Dr Antonio Nicols Briceo Airport,VE,مطار الدكتور انطونيو نيكولاس بريسيو
NTY,Pilanesberg International Airport,ZA,مطار بيلانسبرج الدولي
YMT,Chibougamau-chapais Airport,CA,مطار شيبوغاماو-تشابايس
BOJ,Burgas Airport,BG,مطار بورجاس
KTM,Tribhuvan International Airport,NP,مطار تريبهوفان الدولي
LGK,Langkawi International Airport,MY,مطار لانكاوي الدولي
HND,Haneda Airport,JP,مطار هانيدا
YCO,Kugluktuk Airport,CA,مطار كوغلوكتوك
YCG,West Kootenay Regional Airport,CA,غرب مطار كووتني الإقليمي
YXJ,Fort St John Airport,CA,مطار جون فورت سانت
KVL,Kivalina Airport,US,مطار كيفالينا
YPO,Peawanuck Airport,CA,مطار بيوانوك
ACK,Nantucket Memorial Airport,US,مطار نانتوكيت ميموريال
RZE,Rzeszw-jasionka Airport,PL,مطار ريزيسزو-جاسيونكا
MBA,Moi International Airport,KE,مطار موي الدولي
PDV,Plovdiv Airport,BG,مطار بلوفديف
MDG,Mudanjiang Hailang International Airport,CN,مطار مودانجيانغ هايلانغ الدولي
FOR,Pinto Martins - Fortaleza International Airport,BR,مطار بينتو مارتينز - فورتاليزا الدولي
KBV,Krabi Airport,TH,مطار كرابي
PNI,Pohnpei International Airport,FM,مطار بوهنباي الدولية
YHZ,Halifax Stanfield International Airport,CA,مطار هاليفاكس الدولي
ADU,Ardabil Airport,IR,مطار أردبيل
LAM,Los Alamos Airport,US,مطار لوس ألاموس
KDH,Kandahar Airport,AF,مطار قندهار
RKT,Ras Al Khaimah International Airport,AE,مطار رأس الخيمة الدولي
BEL,Val De Ces International Airport,BR,مطار فال دي سيس الدولية
CTC,Catamarca Airport,AR,مطار كاتاماركا
PEW,Bacha Khan International Airport,PK,مطار باشا خان الدولي
PVD,T F Green Airport,US,مطار تي اف غرين
SYQ,Tobias Bolanos International Airport,CR,مطار توبياس بولانوس الدولية
VNO,Vilnius Airport,LT,مطار فيلنيوس
EMA,East Midlands Airport,GB,مطار ايست ميدلاندز
ENU,Akanu Ibiam International Airport,NG,مطار أكانو إبيام الدولية
YQL,Lethbridge Airport,CA,مطار يثبريدج
YGK,Kingston-norman Rogers Airport,CA,مطار كينغستون نورمان روجرز
YNA,Natashquan Airport,CA,مطار ناتاشكوان
DNA,Kadena Air Base Airport,JP,مطار القاعدة الجوية كادينا
KDO,Kadhdhoo Airport,MV,مطار كادوو
FEZ,Fes-sass Airport,MA,مطار فاس-ساس
CIU,Chippewa County International Airport,US,مطار مقاطعة  شبوا الدولي
AIT,Aitutaki Airport,CK,مطار ايتوتاكي
BNE,Brisbane Airport,AU,مطار بريسبان
ADW,Andrews Air Force Base,US,قاعدة اندروز الجوية
BRQ,Brno-tutmany Airport,CZ,مطار برنو-توتماني
YUL,Montreal-pierre Elliott Trudeau International Airport,CA,مطار مونتريال الدولي
PED,Pardubice Airport,CZ,مطار باردوبيتسه
TNG,Tangier Ibn Battouta Airport,MA,مطار طنجة ابن بطوطة
VIG,Juan Pablo Pcrez Alfonso Airport,VE,مطار خوان بابلو بكريز ألفونسو
GZO,Nusatupe Airport,SB,مطر نوساتوب
LZO,Luzhou Airport,CN,مطار لوتشو
BJM,Bujumbura International Airport,BI,مطار بوجمبورا الدولي
DOM,Melville Hall Airport,DM,مطار ملفيل هول
HGN,Mae Hong Son Airport,TH,مطار ماي هونغ سون
MJD,Moenjodaro Airport,PK,مطار مونجودارو
YOJ,High Level Airport,CA,مطار رفيع المستوى
TPS,Trapani - Birgi Airport,IT,مطار تراباني -بيرجي
YDQ,Dawson Creek Airport,CA,مطار داوسون كريك
HVD,Khovd Airport,CN,مطار كوفد
KIV,Chiinu International Airport,MD,مطار تشينو الدولي
ADV,El Daein Airport,US,مطار الضعين
YHY,Hay River-merlyn Carter Airport,CA,مطار هاي ريفير-ميرلين
YYB,North Bay-jack Garland Airport,CA,مطار باي-جاك غارلاند الشمالي
YGT,Igloolik Airport,CA,مطار ايفغاوليك
YXU,London International Airport,CA,مطار لندن الدولي
YQB,Qubec City Jean Lesage International Airport,CA,مطار مدينة كيبك جين ليساج الدولي
YZR,Sarnia Chris Hadfield Airport,CA,سارنيا مطار كريس هادفيلد
SKO,Sadiq Abubakar Iii International Airport,NG,مطار صادق أبو بكر الدولي الثالث
TNR,Ivato International Airport,MG,مطار ايفاتو الدولي
YQZ,Quesnel Airport,CA,مطار كويسنيل
ANU,V C Bird International Airport,AG,مطار في سي بيرد الدولي
SPN,Saipan International Airport,MP,مطار سايبان الدولي
MUX,Multan International Airport,PK,مطار مولتان الدولي
JMU,Jiamusi Airport,CN,مطار جياموسى
JUL,Inca Manco Cpac International Airport,PE,مطار انكا مانكو كباك الدولي
OTH,Southwest Oregon Regional Airport,US,مطار جنوب غرب ولاية أوريغون الإقليمي
YZV,Sept-les Airport,CA,مطار سبتمبر ليه 
YTZ,Billy Bishop Toronto City Airport,CA,مطار بيلي بيشوب مدينة تورونتو
CBH,Bcchar Boudghene Ben Ali Lotfi Airport,DZ,مطار بتشار بودغيني بن علي لطفي
SKZ,Sukkur Airport,PK,مطار سوكور
GCI,Guernsey Airport,GB,مطار غيرنسي
LXS,Lemnos International Airport,GR,مطار لمنوس الدولي
IXR,Birsa Munda Airport,IN,مطار بيرسا موندا
CUN,Cancn International Airport,MX,مطار كانست الدولي
DSK,Dera Ismael Khan Airport,PK,مطار ديرا إسماعيل خان
RAS,Sardar-e-jangal Airport,IR,مطار سردار-الإلكترونية جانغال
LGW,Gatwick Airport,GB,مطار جاتويك
SZB,Sultan Abdul Aziz Shah Airport,MY,مطار عبد مطار السلطان العزيز شاه
STN,London Stansted Airport,GB,مطار ستانستد لندن
KBP,Boryspil International Airport,UA,مطار بوريسبيل الدولي
LDS,Lindu Airport,CN,مطار ليندو 
CXH,Vancouver Harbour Water Airport,CA,مطار فانكوفر هاربور
CJS,Abraham Gonzlez International Airport,MX,مطار إبراهيم غونزاليس الدولي
DXB,Dubai International Airport,AE,مطار دبي الدولي
DMK,Don Mueang International Airport,TH,مطار دون موينج
KOW,Ganzhou Airport,CN,مطار قانتشو
LIM,Jorge Chavez International Airport,PE,مطار خورخي شافيز الدولي
BLR,Bengaluru International Airport,IN,مطار بنغالورو الدولي
SIN,Singapore Changi Airport,SG,مطار شانغي سنغافورة
MAA,Chennai International Airport,IN,مطار تشيناي الدولي
AUH,Abu Dhabi International Airport,AE,مطار أبو ظبي الدولي
